$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:408.     

JDAY,     TSS,    TISS,
    71.700,    2.0579,    2.0580,
    71.800,    2.1597,    2.1598,
    71.900,    2.2700,    2.2702,
    72.000,    2.3685,    2.3686,
    72.100,    2.4512,    2.4513,
    72.200,    2.5396,    2.5397,
    72.300,    2.6181,    2.6182,
    72.400,    2.6771,    2.6772,
    72.500,    2.7264,    2.7264,
    72.600,    2.7865,    2.7866,
    72.700,    2.8541,    2.8542,
    72.800,    2.9337,    2.9338,
    72.900,    2.9962,    2.9963,
    73.000,    3.0709,    3.0710,
    73.100,    3.1489,    3.1490,
    73.200,    3.2305,    3.2306,
    73.300,    3.3198,    3.3199,
    73.400,    3.4136,    3.4137,
    73.500,    3.5002,    3.5002,
    73.600,    3.5622,    3.5623,
    73.700,    3.6286,    3.6287,
    73.800,    3.6911,    3.6912,
    73.900,    3.7504,    3.7505,
    74.000,    3.7988,    3.7989,
    74.100,    3.8392,    3.8392,
    74.200,    3.8732,    3.8732,
    74.300,    3.9029,    3.9030,
    74.400,    3.9276,    3.9276,
    74.500,    3.9499,    3.9499,
    74.600,    3.9695,    3.9695,
    74.700,    3.9920,    3.9921,
    74.800,    4.0223,    4.0223,
    74.900,    4.0595,    4.0595,
    75.000,    4.0982,    4.0982,
    75.100,    4.0670,    4.0670,
    75.200,    4.0995,    4.0995,
    75.300,    4.1285,    4.1285,
    75.400,    4.1530,    4.1530,
    75.500,    4.1788,    4.1789,
    75.600,    4.2583,    4.2583,
    75.700,    4.2995,    4.2995,
    75.800,    4.3363,    4.3363,
    75.900,    4.3632,    4.3632,
    76.000,    4.3884,    4.3884,
    76.100,    4.4144,    4.4144,
    76.200,    4.4427,    4.4428,
    76.300,    4.5208,    4.5209,
    76.400,    4.5612,    4.5612,
    76.500,    4.5895,    4.5895,
    76.600,    4.6112,    4.6112,
    76.700,    4.6280,    4.6280,
    76.800,    4.6425,    4.6425,
    76.900,    4.6556,    4.6557,
