$Flow file for segment 11
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    57.300,   28.320,            0.000,
    57.400,   28.320,            0.000,
    57.500,   28.320,            0.000,
    57.600,   28.320,            0.000,
    57.700,   28.320,            0.000,
    57.800,   28.320,            0.000,
    57.900,   28.320,            0.000,
    58.000,   28.320,            0.000,
    58.100,   28.320,            0.000,
    58.200,   28.320,            0.000,
    58.300,   28.320,            0.000,
    58.400,   28.320,            0.000,
    58.500,   28.320,            0.000,
    58.600,   28.320,            0.000,
    58.700,   28.320,            0.000,
    58.800,   28.320,            0.000,
    58.900,   28.320,            0.000,
    59.000,   28.320,            0.000,
    59.100,   28.320,            0.000,
    59.200,   28.320,            0.000,
    59.300,   28.320,            0.000,
    59.400,   28.320,            0.000,
    59.500,   28.320,            0.000,
    59.600,   28.320,            0.000,
    59.700,   28.320,            0.000,
    59.800,   28.320,            0.000,
    59.900,   28.320,            0.000,
    60.000,   28.320,            0.000,
    60.100,   28.320,            0.000,
    60.200,   28.320,            0.000,
    60.300,   28.320,            0.000,
    60.400,   28.320,            0.000,
    60.500,   28.320,            0.000,
    60.600,   28.320,            0.000,
    60.700,   28.320,            0.000,
    60.800,   28.320,            0.000,
    60.900,   28.320,            0.000,
    61.000,   28.320,            0.000,
    61.100,   28.320,            0.000,
    61.200,   28.320,            0.000,
    61.300,   28.320,            0.000,
    61.400,   28.320,            0.000,
    61.500,   28.320,            0.000,
    61.600,   28.320,            0.000,
    61.700,   28.320,            0.000,
    61.800,   28.320,            0.000,
    61.900,   28.320,            0.000,
    62.000,   28.320,            0.000,
    62.100,   28.320,            0.000,
    62.200,   28.320,            0.000,
    62.300,   28.320,            0.000,
    62.400,   28.320,            0.000,
    62.500,   28.320,            0.000,
    62.600,   28.320,            0.000,
    62.700,   28.320,            0.000,
    62.800,   28.320,            0.000,
    62.900,   28.320,            0.000,
    63.000,   28.320,            0.000,
    63.100,   28.320,            0.000,
    63.200,   28.320,            0.000,
    63.300,   28.320,            0.000,
    63.400,   28.320,            0.000,
    63.500,   28.320,            0.000,
    63.600,   28.320,            0.000,
    63.700,   28.320,            0.000,
    63.800,   28.320,            0.000,
    63.900,   28.320,            0.000,
    64.000,   28.320,            0.000,
    64.100,   28.320,            0.000,
    64.200,   28.320,            0.000,
    64.300,   28.320,            0.000,
    64.400,   28.320,            0.000,
    64.500,   28.320,            0.000,
    64.600,   28.320,            0.000,
    64.700,   28.320,            0.000,
    64.800,   28.320,            0.000,
    64.900,   28.320,            0.000,
    65.000,   28.320,            0.000,
    65.100,   28.320,            0.000,
    65.200,   28.320,            0.000,
    65.300,   28.320,            0.000,
    65.400,   28.320,            0.000,
    65.500,   28.320,            0.000,
    65.600,   28.320,            0.000,
    65.700,   28.320,            0.000,
    65.800,   28.320,            0.000,
    65.900,   28.320,            0.000,
    66.000,   28.320,            0.000,
    66.100,   28.320,            0.000,
    66.200,   28.320,            0.000,
    66.300,   28.320,            0.000,
    66.400,   28.320,            0.000,
    66.500,   28.320,            0.000,
    66.600,   28.320,            0.000,
    66.700,   28.320,            0.000,
    66.800,   28.320,            0.000,
    66.900,   28.320,            0.000,
    67.000,   28.320,            0.000,
    67.100,   28.320,            0.000,
    67.200,   28.320,            0.000,
    67.300,   28.320,            0.000,
    67.400,   28.320,            0.000,
    67.500,   28.320,            0.000,
