$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    27.500,   23.0097,   18.5255,    3.6600,    2.0610,
    27.600,   23.0136,   18.5886,    3.6294,    2.0551,
    27.700,   23.0164,   18.6579,    3.6009,    2.0496,
    27.800,   23.0184,   18.7275,    3.5648,    2.0427,
    27.900,   23.0243,   18.8031,    3.5421,    2.0374,
    28.000,   23.0294,   18.8809,    3.5193,    2.0319,
    28.100,   23.0332,   18.9602,    3.4943,    2.0262,
    28.200,   23.0404,   19.0423,    3.4755,    2.0209,
    28.300,   23.0550,   19.1366,    3.4759,    2.0174,
    28.400,   23.0565,   19.2181,    3.4525,    2.0129,
    28.500,   23.0581,   19.3005,    3.4299,    2.0085,
    28.600,   23.0598,   19.3844,    3.4077,    2.0042,
    28.700,   23.0618,   19.4657,    3.3840,    1.9995,
    28.800,   23.0644,   19.5417,    3.3565,    1.9937,
    28.900,   23.0675,   19.6143,    3.3303,    1.9880,
    29.000,   23.0689,   19.6943,    3.3194,    1.9857,
    29.100,   23.0719,   19.7667,    3.2972,    1.9809,
    29.200,   23.0752,   19.8389,    3.2750,    1.9759,
    29.300,   23.0788,   19.9111,    3.2523,    1.9707,
    29.400,   23.0829,   19.9830,    3.2300,    1.9655,
    29.500,   23.0872,   20.0556,    3.2091,    1.9605,
    29.600,   23.0908,   20.1350,    3.1913,    1.9563,
    29.700,   23.0936,   20.2171,    3.1731,    1.9524,
    29.800,   23.0966,   20.2963,    3.1517,    1.9477,
    29.900,   23.1009,   20.3689,    3.1243,    1.9419,
    30.000,   23.1063,   20.4366,    3.0940,    1.9363,
    30.100,   23.1113,   20.5001,    3.0657,    1.9315,
    30.200,   23.1178,   20.5658,    3.0345,    1.9257,
    30.300,   23.1254,   20.6339,    3.0015,    1.9195,
    30.400,   23.1340,   20.7022,    2.9672,    1.9126,
    30.500,   23.1424,   20.7644,    2.9333,    1.9054,
    30.600,   23.1467,   20.8231,    2.9028,    1.8987,
    30.700,   23.1539,   20.8743,    2.8723,    1.8916,
    30.800,   23.1629,   20.9163,    2.8380,    1.8832,
    30.900,   23.1735,   20.9486,    2.8013,    1.8739,
    31.000,   23.1844,   20.9796,    2.7652,    1.8648,
    31.100,   23.1940,   21.0183,    2.7337,    1.8569,
    31.200,   23.2024,   21.0643,    2.7023,    1.8492,
    31.300,   23.2130,   21.0997,    2.6650,    1.8397,
    31.400,   23.2238,   21.1294,    2.6279,    1.8304,
    31.500,   23.2314,   21.1773,    2.5995,    1.8240,
    31.600,   23.2410,   21.2109,    2.5633,    1.8152,
    31.700,   23.2535,   21.2319,    2.5230,    1.8049,
    31.800,   23.2655,   21.2599,    2.4861,    1.7958,
    31.900,   23.2798,   21.2734,    2.4427,    1.7843,
    32.000,   23.2913,   21.3062,    2.4080,    1.7757,
    32.100,   23.3032,   21.3273,    2.3690,    1.7653,
