$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
     8.000,   23.3131,    6.5535,    1.8645,    2.2812,
     8.100,   23.3228,    6.6191,    2.1463,    2.2948,
     8.200,   23.3297,    6.6810,    2.5090,    2.3128,
     8.301,   23.3310,    6.7393,    2.9624,    2.3362,
     8.400,   23.3239,    6.7919,    3.4480,    2.3617,
     8.500,   23.3117,    6.8419,    3.9173,    2.3900,
     8.600,   23.2987,    6.8866,    4.3724,    2.4238,
     8.703,   23.2841,    6.9301,    4.8007,    2.4607,
     8.803,   23.2635,    6.9662,    5.3407,    2.5026,
     8.900,   23.2312,    6.9908,    6.1298,    2.5601,
     9.000,   23.1866,    7.0072,    7.0234,    2.6309,
     9.100,   23.1498,    7.0290,    7.8104,    2.6979,
     9.204,   23.1231,    7.0662,    8.4072,    2.7472,
     9.303,   23.1001,    7.1111,    8.8063,    2.7803,
     9.400,   23.0790,    7.1598,    9.1293,    2.8069,
     9.500,   23.0604,    7.2144,    9.3664,    2.8267,
     9.600,   23.0419,    7.2682,    9.6115,    2.8481,
     9.705,   23.0206,    7.3217,    9.9154,    2.8756,
     9.801,   22.9970,    7.3685,   10.2516,    2.9071,
     9.900,   22.9733,    7.4164,   10.5514,    2.9374,
    10.000,   22.9498,    7.4633,   10.8364,    2.9646,
    10.100,   22.9276,    7.5108,   11.0875,    2.9890,
    10.201,   22.9092,    7.5636,   11.2586,    3.0052,
    10.304,   22.8941,    7.6223,   11.4234,    3.0187,
    10.400,   22.8817,    7.6830,   11.4960,    3.0245,
    10.500,   22.8698,    7.7462,   11.5639,    3.0291,
    10.600,   22.8509,    7.7984,   11.8917,    3.0557,
    10.702,   22.8289,    7.8464,   12.3208,    3.0921,
    10.803,   22.8040,    7.8911,   12.7845,    3.1325,
    10.900,   22.7786,    7.9287,   13.2677,    3.1739,
    11.000,   22.7550,    7.9675,   13.6448,    3.2073,
    11.100,   22.7385,    8.0206,   13.7863,    3.2218,
    11.205,   22.7221,    8.0744,   13.8833,    3.2356,
    11.303,   22.7088,    8.1301,   13.8921,    3.2430,
    11.400,   22.6946,    8.1832,   13.9392,    3.2534,
    11.500,   22.6795,    8.2398,   14.0329,    3.2684,
    11.600,   22.6677,    8.3078,   14.0230,    3.2762,
    11.707,   22.6503,    8.3640,   14.1485,    3.2953,
    11.803,   22.6241,    8.4069,   14.3547,    3.3227,
    11.900,   22.6120,    8.4792,   14.1017,    3.3122,
    12.000,   22.5970,    8.5449,   13.9701,    3.3105,
    12.100,   22.5730,    8.5928,   14.0721,    3.3276,
    12.201,   22.5437,    8.6314,   14.2236,    3.3500,
    12.303,   22.5133,    8.6656,   14.3221,    3.3692,
