JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),     TDS,    Gen1,    ISS1,    ISS2,     TSS,    TISS,TISSIN  (kg/d),TISSOUT (kg/d),
    89.400,   583.385,   464.475,     5.814,     0.054,    44.788,   375.797,     0.313,    77.075,   928.860,     1.000,     4.865,   262.188,   354.526,   250.088,   333.667,    12.565,    -3.807,    25.605,    35.831,     0.109,     0.507,     0.618,     0.618, 0.000E+00, 0.000E+00,
    89.500,   759.220,   464.492,     6.040,     0.052,    44.142,   782.014,     0.310,    77.092,   928.860,     1.000,     4.886,   678.968,   737.749,   266.178,   334.708,    10.220,   -19.969,    25.689,    34.869,     0.101,     0.493,     0.595,     0.595, 0.000E+00, 0.000E+00,
    89.600,  1200.000,   464.509,     6.327,     0.047,    50.570,   727.542,     0.309,    77.109,   928.860,     1.000,     4.908,   648.469,   686.360,   278.425,   336.116,    12.341,   -32.141,    25.763,    34.036,     0.096,     0.483,     0.579,     0.579, 0.000E+00, 0.000E+00,
    89.704,  1200.000,   464.522,     6.509,     0.047,    40.100,   409.433,     0.307,    77.122,   928.860,     1.000,     4.920,   352.297,   386.258,   282.916,   336.964,    14.077,   -34.164,    25.828,    33.246,     0.091,     0.474,     0.567,     0.567, 0.000E+00, 0.000E+00,
    89.806,  1070.819,   464.539,     6.476,     0.041,    40.346,    11.355,     0.306,    77.139,   928.860,     1.000,     4.912,   -51.509,    10.712,   268.291,   336.930,    15.433,   -21.850,    25.886,    32.538,     0.089,     0.470,     0.560,     0.560, 0.000E+00, 0.000E+00,
    89.900,   285.448,   464.559,     6.372,     0.056,    44.530,     0.000,     0.305,    77.159,   928.860,     1.000,     4.897,   -95.764,     0.000,   252.644,   336.374,    17.348,    -5.314,    25.938,    31.870,     0.086,     0.466,     0.552,     0.552, 0.000E+00, 0.000E+00,
    90.000,   468.122,   464.577,     6.275,     0.057,    44.386,     0.000,     0.305,    77.177,   928.860,     1.000,     4.883,  -113.297,     0.000,   244.673,   335.917,    18.475,     3.578,    26.001,    30.990,     0.083,     0.461,     0.545,     0.545, 0.000E+00, 0.000E+00,
    90.100,   480.661,   464.596,     6.183,     0.064,    46.686,     0.000,     0.305,    77.196,   928.860,     1.000,     4.871,  -154.145,     0.000,   233.598,   335.462,    26.313,    25.968,    26.053,    30.187,     0.084,     0.463,     0.547,     0.547, 0.000E+00, 0.000E+00,
    90.202,   577.449,   464.614,     6.078,     0.069,    42.764,     0.000,     0.304,    77.214,   928.860,     1.000,     4.862,  -164.094,     0.000,   232.279,   334.986,    29.478,    31.909,    26.117,    29.170,     0.083,     0.460,     0.543,     0.543, 0.000E+00, 0.000E+00,
    90.304,   574.312,   464.633,     5.973,     0.068,    42.716,    42.421,     0.304,    77.233,   928.860,     1.000,     4.854,  -103.105,    40.020,   240.032,   334.477,    24.155,    24.524,    26.169,    28.308,     0.082,     0.459,     0.541,     0.541, 0.000E+00, 0.000E+00,
