$Concentration file for segment 11

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    31.600,   23.2217,   21.3402,    2.6357,    1.8254,
    31.706,   23.2383,   21.3430,    2.5774,    1.8118,
    31.802,   23.2848,   21.1771,    2.4184,    1.7737,
    31.900,   23.3468,   20.9134,    2.2101,    1.7231,
    32.000,   23.3728,   20.8514,    2.1232,    1.7025,
    32.100,   23.3865,   20.8662,    2.0831,    1.6928,
    32.208,   23.3983,   20.8951,    2.0490,    1.6849,
    32.302,   23.4025,   20.9644,    2.0354,    1.6820,
    32.400,   23.4207,   20.9462,    1.9880,    1.6690,
    32.500,   23.4429,   20.9095,    1.9339,    1.6533,
    32.600,   23.4600,   20.9031,    1.8950,    1.6418,
    32.702,   23.4718,   20.9269,    1.8688,    1.6336,
    32.802,   23.4836,   20.9501,    1.8390,    1.6247,
    32.900,   23.4943,   20.9793,    1.8130,    1.6171,
    33.000,   23.5108,   20.9824,    1.7693,    1.6056,
    33.100,   23.5314,   20.9611,    1.7167,    1.5918,
    33.202,   23.5520,   20.9497,    1.6664,    1.5784,
    33.302,   23.5704,   20.9469,    1.6222,    1.5666,
    33.400,   23.5877,   20.9483,    1.5811,    1.5555,
    33.500,   23.6026,   20.9674,    1.5460,    1.5464,
    33.600,   23.6133,   21.0110,    1.5194,    1.5398,
    33.708,   23.6252,   21.0480,    1.4882,    1.5313,
    33.802,   23.6380,   21.0635,    1.4553,    1.5213,
    33.900,   23.6476,   21.1089,    1.4293,    1.5138,
    34.000,   23.6510,   21.1906,    1.4191,    1.5108,
    34.100,   23.6507,   21.2872,    1.4152,    1.5103,
    34.202,   23.6471,   21.4021,    1.4196,    1.5118,
    34.301,   23.6434,   21.5162,    1.4224,    1.5136,
    34.400,   23.6392,   21.6348,    1.4265,    1.5155,
    34.500,   23.6305,   21.7898,    1.4459,    1.5226,
    34.600,   23.6207,   21.9445,    1.4640,    1.5301,
    34.702,   23.6098,   22.1114,    1.4868,    1.5379,
    34.801,   23.6006,   22.2568,    1.5003,    1.5424,
    34.900,   23.5966,   22.3756,    1.5079,    1.5437,
    35.000,   23.5918,   22.5073,    1.5158,    1.5464,
    35.100,   23.5940,   22.5875,    1.5078,    1.5436,
    35.208,   23.5945,   22.6848,    1.5031,    1.5410,
    35.302,   23.5973,   22.7576,    1.4936,    1.5366,
    35.400,   23.6007,   22.8379,    1.4805,    1.5317,
    35.500,   23.6071,   22.8991,    1.4629,    1.5245,
    35.600,   23.6077,   23.0017,    1.4571,    1.5236,
    35.708,   23.6065,   23.1046,    1.4559,    1.5223,
    35.801,   23.6051,   23.2059,    1.4486,    1.5202,
    35.900,   23.6041,   23.3061,    1.4401,    1.5175,
    36.000,   23.6076,   23.3847,    1.4301,    1.5127,
    36.100,   23.6134,   23.4416,    1.4106,    1.5051,
    36.208,   23.6093,   23.5784,    1.4152,    1.5087,
    36.301,   23.6126,   23.6494,    1.4040,    1.5031,
    36.400,   23.6138,   23.7521,    1.3960,    1.5017,
    36.500,   23.6182,   23.8297,    1.3803,    1.4962,
    36.600,   23.6194,   23.9236,    1.3731,    1.4937,
    36.703,   23.6200,   24.0168,    1.3671,    1.4906,
    36.801,   23.6223,   24.0928,    1.3577,    1.4844,
    36.900,   23.6265,   24.1621,    1.3432,    1.4777,
    37.000,   23.6314,   24.2298,    1.3274,    1.4714,
    37.100,   23.6372,   24.2982,    1.3103,    1.4641,
    37.207,   23.6479,   24.3337,    1.2802,    1.4532,
    37.301,   23.6480,   24.4352,    1.2800,    1.4535,
    37.400,   23.6532,   24.5128,    1.2679,    1.4483,
