$Flow file for segment 11
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    73.100,   28.320,            0.000,
    73.202,   28.320,            0.000,
    73.304,   28.320,            0.000,
    73.400,   28.320,            0.000,
    73.500,   28.320,            0.000,
    73.600,   28.320,            0.000,
    73.705,   28.320,            0.000,
    73.801,   28.320,            0.000,
    73.900,   28.320,            0.000,
    74.000,   28.320,            0.000,
    74.100,   28.320,            0.000,
    74.205,   28.320,            0.000,
    74.301,   28.320,            0.000,
    74.400,   28.320,            0.000,
    74.500,   28.320,            0.000,
    74.600,   28.320,            0.000,
    74.704,   28.320,            0.000,
    74.802,   28.320,            0.000,
    74.900,   28.320,            0.000,
    75.000,   28.320,            0.000,
    75.100,   42.480,            0.000,
    75.201,   42.480,            0.000,
    75.303,   42.480,            0.000,
    75.400,   42.480,            0.000,
    75.500,   42.480,            0.000,
    75.600,   42.480,            0.000,
    75.701,   42.480,            0.000,
    75.803,   42.480,            0.000,
    75.900,   42.480,            0.000,
    76.000,   42.480,            0.000,
    76.100,   42.480,            0.000,
    76.202,   42.480,            0.000,
    76.304,   42.480,            0.000,
    76.400,   42.480,            0.000,
    76.500,   42.480,            0.000,
    76.600,   42.480,            0.000,
    76.703,   42.480,            0.000,
    76.805,   42.480,            0.000,
    76.900,   42.480,            0.000,
    77.000,   42.480,            0.000,
    77.100,   42.480,            0.000,
    77.204,   42.480,            0.000,
    77.306,   42.480,            0.000,
    77.400,   42.480,            0.000,
    77.500,   42.480,            0.000,
    77.600,   42.480,            0.000,
    77.704,   42.480,            0.000,
    77.806,   42.480,            0.000,
    77.900,   42.480,            0.000,
    78.000,   42.480,            0.000,
    78.100,   42.480,            0.000,
    78.204,   42.480,            0.000,
    78.306,   42.480,            0.000,
    78.400,   42.480,            0.000,
    78.500,   42.480,            0.000,
    78.600,   42.480,            0.000,
    78.704,   42.480,            0.000,
    78.806,   42.480,            0.000,
    78.900,   42.480,            0.000,
    79.000,   42.480,            0.000,
    79.100,   42.480,            0.000,
    79.205,   42.480,            0.000,
    79.307,   42.480,            0.000,
