$STR WITHDRAWAL AT SEG11                                     ELEV OF WITHDRAWAL CENTERLINE:470.     

JDAY,T(C)
    66.304,  -99.00
    66.400,  -99.00
    66.500,  -99.00
    66.600,  -99.00
    66.703,  -99.00
    66.800,  -99.00
    66.900,  -99.00
    67.000,  -99.00
    67.100,  -99.00
    67.201,  -99.00
    67.301,  -99.00
    67.400,  -99.00
    67.500,  -99.00
    67.600,  -99.00
    67.706,  -99.00
    67.802,  -99.00
    67.900,  -99.00
    68.000,  -99.00
    68.100,  -99.00
    68.204,  -99.00
    68.303,  -99.00
    68.400,  -99.00
    68.500,  -99.00
    68.600,  -99.00
    68.708,  -99.00
    68.806,  -99.00
    68.900,  -99.00
    69.000,  -99.00
    69.100,  -99.00
    69.201,  -99.00
    69.303,  -99.00
    69.400,  -99.00
    69.500,  -99.00
    69.600,  -99.00
    69.708,  -99.00
    69.806,  -99.00
    69.900,  -99.00
    70.000,  -99.00
    70.100,  -99.00
    70.202,  -99.00
    70.303,  -99.00
    70.400,  -99.00
    70.500,  -99.00
    70.600,  -99.00
    70.701,  -99.00
    70.802,  -99.00
    70.900,  -99.00
    71.000,  -99.00
    71.100,  -99.00
    71.201,  -99.00
    71.303,  -99.00
    71.400,  -99.00
    71.500,  -99.00
    71.600,  -99.00
    71.700,  -99.00
    71.803,  -99.00
    71.900,  -99.00
    72.000,  -99.00
    72.100,  -99.00
    72.201,  -99.00
    72.303,  -99.00
    72.400,  -99.00
    72.500,  -99.00
    72.600,  -99.00
    72.701,  -99.00
    72.803,  -99.00
    72.900,  -99.00
    73.000,  -99.00
    73.100,  -99.00
    73.202,  -99.00
    73.304,  -99.00
    73.400,  -99.00
    73.500,  -99.00
    73.600,  -99.00
    73.705,  -99.00
    73.801,  -99.00
    73.900,  -99.00
    74.000,  -99.00
    74.100,  -99.00
    74.205,  -99.00
    74.301,  -99.00
    74.400,  -99.00
    74.500,  -99.00
    74.600,  -99.00
    74.704,  -99.00
    74.802,  -99.00
    74.900,  -99.00
    75.000,  -99.00
    75.100,  -99.00
    75.201,  -99.00
    75.303,  -99.00
    75.400,  -99.00
    75.500,  -99.00
    75.600,  -99.00
    75.701,  -99.00
    75.803,  -99.00
    75.900,  -99.00
    76.000,  -99.00
    76.100,  -99.00
    76.202,  -99.00
    76.304,  -99.00
    76.400,  -99.00
    76.500,  -99.00
    76.600,  -99.00
    76.703,  -99.00
    76.805,  -99.00
    76.900,  -99.00
    77.000,  -99.00
    77.100,  -99.00
    77.204,  -99.00
    77.306,  -99.00
    77.400,  -99.00
    77.500,  -99.00
    77.600,  -99.00
    77.704,  -99.00
    77.806,  -99.00
    77.900,  -99.00
    78.000,  -99.00
    78.100,  -99.00
    78.204,  -99.00
    78.306,  -99.00
    78.400,  -99.00
    78.500,  -99.00
    78.600,  -99.00
    78.704,  -99.00
    78.806,  -99.00
    78.900,  -99.00
    79.000,  -99.00
    79.100,  -99.00
    79.205,  -99.00
    79.307,  -99.00
    79.400,  -99.00
    79.500,  -99.00
    79.600,  -99.00
    79.704,  -99.00
    79.803,  -99.00
    79.900,  -99.00
    80.000,  -99.00
    80.100,  -99.00
    80.204,  -99.00
    80.306,  -99.00
    80.400,  -99.00
    80.500,  -99.00
    80.600,  -99.00
    80.704,  -99.00
    80.806,  -99.00
    80.900,  -99.00
    81.000,  -99.00
    81.100,  -99.00
    81.206,  -99.00
    81.302,  -99.00
    81.400,  -99.00
    81.500,  -99.00
    81.600,  -99.00
    81.703,  -99.00
    81.805,  -99.00
    81.900,  -99.00
    82.000,  -99.00
    82.100,  -99.00
    82.206,  -99.00
    82.308,  -99.00
    82.400,  -99.00
    82.500,  -99.00
    82.600,  -99.00
    82.704,  -99.00
    82.806,  -99.00
    82.900,  -99.00
    83.000,  -99.00
    83.100,  -99.00
    83.204,  -99.00
    83.306,  -99.00
    83.400,  -99.00
    83.500,  -99.00
    83.600,  -99.00
    83.704,  -99.00
    83.806,  -99.00
    83.900,  -99.00
    84.000,  -99.00
    84.100,  -99.00
    84.203,  -99.00
    84.306,  -99.00
    84.400,  -99.00
    84.500,  -99.00
    84.600,  -99.00
    84.704,  -99.00
    84.804,  -99.00
    84.900,  -99.00
    85.000,  -99.00
    85.100,  -99.00
    85.203,  -99.00
    85.305,  -99.00
    85.400,  -99.00
    85.500,  -99.00
    85.600,  -99.00
    85.700,  -99.00
    85.804,  -99.00
    85.900,  -99.00
    86.000,  -99.00
    86.100,  -99.00
    86.202,  -99.00
    86.304,  -99.00
    86.400,  -99.00
    86.500,  -99.00
    86.600,  -99.00
    86.704,  -99.00
    86.802,  -99.00
    86.900,  -99.00
    87.000,  -99.00
    87.100,  -99.00
    87.202,  -99.00
    87.304,  -99.00
    87.400,  -99.00
    87.500,  -99.00
    87.600,  -99.00
    87.703,  -99.00
    87.806,  -99.00
    87.900,  -99.00
    88.000,  -99.00
    88.100,  -99.00
    88.203,  -99.00
    88.305,  -99.00
    88.400,  -99.00
    88.500,  -99.00
    88.600,  -99.00
    88.704,  -99.00
    88.806,  -99.00
    88.900,  -99.00
    89.000,  -99.00
    89.100,  -99.00
    89.202,  -99.00
    89.304,  -99.00
    89.400,  -99.00
    89.500,  -99.00
    89.600,  -99.00
    89.704,  -99.00
    89.806,  -99.00
    89.900,  -99.00
    90.000,  -99.00
    90.100,  -99.00
    90.202,  -99.00
    90.304,  -99.00
    90.400,  -99.00
    90.500,  -99.00
    90.600,  -99.00
    90.702,  -99.00
    90.808,  -99.00
    90.900,  -99.00
    91.000,  -99.00
    91.100,  -99.00
    91.201,  -99.00
    91.303,  -99.00
    91.400,  -99.00
    91.500,  -99.00
    91.600,  -99.00
    91.703,  -99.00
    91.806,  -99.00
    91.900,  -99.00
    92.000,  -99.00
    92.100,  -99.00
    92.205,  -99.00
    92.302,  -99.00
    92.400,  -99.00
    92.500,  -99.00
    92.600,  -99.00
    92.701,  -99.00
    92.805,  -99.00
    92.900,  -99.00
    93.000,  -99.00
    93.100,  -99.00
    93.204,  -99.00
    93.301,  -99.00
    93.400,  -99.00
    93.500,  -99.00
    93.600,  -99.00
    93.708,  -99.00
    93.804,  -99.00
    93.900,  -99.00
    94.000,  -99.00
    94.100,  -99.00
    94.204,  -99.00
    94.300,  -99.00
    94.400,  -99.00
    94.500,  -99.00
    94.600,  -99.00
    94.708,  -99.00
    94.802,  -99.00
    94.900,  -99.00
    95.000,  -99.00
    95.100,  -99.00
    95.201,  -99.00
    95.303,  -99.00
    95.400,  -99.00
    95.500,  -99.00
    95.600,  -99.00
    95.701,  -99.00
    95.801,  -99.00
    95.900,  -99.00
    96.000,  -99.00
    96.100,  -99.00
    96.201,  -99.00
    96.303,  -99.00
    96.400,  -99.00
    96.500,  -99.00
    96.600,  -99.00
    96.708,  -99.00
    96.802,  -99.00
    96.900,  -99.00
    97.000,  -99.00
    97.100,  -99.00
    97.201,  -99.00
    97.304,  -99.00
    97.400,  -99.00
    97.500,  -99.00
    97.600,  -99.00
    97.700,  -99.00
    97.801,  -99.00
    97.900,  -99.00
    98.000,  -99.00
    98.100,  -99.00
    98.202,  -99.00
    98.303,  -99.00
    98.400,  -99.00
    98.500,  -99.00
    98.600,  -99.00
    98.701,  -99.00
    98.804,  -99.00
    98.900,  -99.00
    99.000,  -99.00
    99.100,  -99.00
    99.204,  -99.00
    99.302,  -99.00
    99.400,  -99.00
    99.500,  -99.00
    99.600,  -99.00
    99.700,  -99.00
    99.801,  -99.00
    99.900,  -99.00
   100.000,  -99.00
   100.100,  -99.00
   100.200,  -99.00
   100.303,  -99.00
   100.400,  -99.00
   100.500,  -99.00
   100.600,  -99.00
   100.700,  -99.00
   100.801,  -99.00
   100.900,  -99.00
   101.000,  -99.00
   101.100,  -99.00
   101.200,  -99.00
   101.303,  -99.00
   101.400,  -99.00
   101.500,  -99.00
   101.600,  -99.00
   101.700,  -99.00
   101.803,  -99.00
   101.900,  -99.00
   102.000,  -99.00
   102.100,  -99.00
   102.200,  -99.00
   102.302,  -99.00
   102.400,  -99.00
   102.500,  -99.00
   102.600,  -99.00
   102.700,    7.47
   102.801,    7.09
   102.900,    6.94
   103.000,    6.77
   103.100,    6.66
   103.200,    6.58
   103.302,    6.50
   103.400,    6.45
   103.500,    6.41
   103.600,    6.39
   103.700,    6.38
   103.801,    6.36
   103.900,    6.28
   104.000,    6.25
   104.100,    6.21
   104.202,    5.94
   104.301,    5.89
   104.400,    5.88
   104.500,    5.91
   104.600,    5.96
   104.700,    5.99
   104.802,    6.00
   104.900,    5.98
